"loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","purpose","dti","delinq_2yrs","earliest_cr_line","open_acc","revol_bal","total_acc","pct_of_inc","result"
15000,15000," 36 months",13.11,506.21,"2 years","OWN",50000,"credit_card",25.75,0,2001-11-03,12,24913,28,0.3,1
15000,15000," 36 months",15.8,525.88,"10+ years","MORTGAGE",51000,"debt_consolidation",18.75,0,1994-01-16,11,11802,29,0.294117647058824,1
4000,4000," 36 months",20.31,149.29,"10+ years","RENT",170000,"vacation",12.29,0,2000-06-02,12,11196,47,0.0235294117647059,1
21075,21075," 36 months",8.9,669.2,"10+ years","MORTGAGE",48000,"credit_card",18.85,0,1996-06-04,8,13778,20,0.4390625,1
20000,20000," 60 months",22.78,561.29,"2 years","MORTGAGE",60000,"credit_card",20.52,0,2001-03-19,14,20910,37,0.333333333333333,1
33075,33075," 60 months",17.27,826.81,"1 year","MORTGAGE",79000,"debt_consolidation",20.6,0,1989-09-22,13,33151,35,0.418670886075949,1
9000,9000," 36 months",19.72,333.19,"2 years","RENT",38000,"debt_consolidation",15.16,0,2005-10-29,13,7564,20,0.236842105263158,0
15000,15000," 36 months",13.05,505.78,"10+ years","MORTGAGE",1e+05,"debt_consolidation",8.5,0,1995-06-11,10,15264,28,0.15,1
4000,4000," 36 months",14.09,136.89,"6 years","RENT",34000,"other",33.56,0,1997-05-23,9,6495,14,0.117647058823529,0
7750,7750," 36 months",9.76,249.2,"2 years","MORTGAGE",90000,"debt_consolidation",21.15,0,2002-03-11,22,10642,47,0.0861111111111111,1
6000,6000," 36 months",13.99,205.04,"1 year","RENT",102500,"debt_consolidation",9.87,0,2003-10-27,11,10019,20,0.0585365853658537,0
12375,12375," 36 months",15.31,430.87,"< 1 year","MORTGAGE",78348,"debt_consolidation",21.32,1,1993-08-14,8,9619,18,0.157949149946393,1
5000,5000," 36 months",16.2,176.28,"< 1 year","RENT",30000,"debt_consolidation",26.88,0,2002-12-09,4,1146,7,0.166666666666667,1
5500,5500," 36 months",13.67,187.1,"3 years","RENT",55000,"debt_consolidation",20.71,0,1987-07-24,17,9486,25,0.1,1
18000,18000," 60 months",21.48,491.84,"10+ years","RENT",61000,"debt_consolidation",10.64,0,1998-12-20,9,25241,28,0.295081967213115,1
6500,6500," 36 months",7.9,203.39,"5 years","RENT",35373,"credit_card",14.87,0,1998-12-13,5,3542,24,0.183755972069092,1
9600,9600," 36 months",15.31,334.25,"2 years","RENT",75000,"debt_consolidation",12.93,0,2007-11-21,6,12562,9,0.128,0
10000,10000," 36 months",13.11,337.47,"2 years","RENT",60000,"debt_consolidation",15.26,0,2001-11-17,7,19691,23,0.166666666666667,1
18000,18000," 60 months",21.97,496.84,"10+ years","MORTGAGE",210000,"other",12.15,1,1995-10-18,18,28194,35,0.0857142857142857,1
10000,10000," 36 months",9.71,321.32,"10+ years","MORTGAGE",35000,"debt_consolidation",11.9,0,2004-12-26,10,6665,12,0.285714285714286,1
9000,9000," 36 months",19.05,330.14,"4 years","MORTGAGE",39000,"debt_consolidation",29.17,0,2006-04-21,9,8019,16,0.230769230769231,0
15000,15000," 36 months",10.64,488.53,"9 years","MORTGAGE",46500,"debt_consolidation",17.32,1,2001-07-12,13,17475,24,0.32258064516129,1
16000,16000," 60 months",22.7,448.3,"5 years","RENT",85000,"debt_consolidation",15.2,0,2006-07-27,12,5905,29,0.188235294117647,0
16000,16000," 36 months",18.75,584.48,"1 year","MORTGAGE",75000,"debt_consolidation",15.95,0,2001-02-02,14,13936,38,0.213333333333333,1
18000,18000," 60 months",17.27,449.97,"10+ years","RENT",60000,"debt_consolidation",23.3,0,1999-10-01,9,15730,17,0.3,1
10625,10625," 36 months",12.12,353.52,"10+ years","MORTGAGE",31820,"debt_consolidation",25.87,0,1998-12-29,10,12134,17,0.333909490886235,0
25500,25500," 36 months",15.31,887.85,"5 years","RENT",60000,"credit_card",30.74,0,1999-07-28,10,15290,14,0.425,1
14000,14000," 36 months",16.29,494.21,"10+ years","RENT",37000,"debt_consolidation",25.46,0,2000-10-03,11,7686,30,0.378378378378378,1
18000,18000," 60 months",10.74,389.04,"7 years","MORTGAGE",145000,"home_improvement",8.63,0,2000-10-30,6,5799,23,0.124137931034483,1
27575,27575," 36 months",16.29,973.41,"10+ years","MORTGAGE",62000,"debt_consolidation",19.57,0,1999-10-27,7,17919,36,0.444758064516129,1
5000,5000," 36 months",17.77,180.19,"1 year","RENT",17000,"credit_card",22.31,0,2007-05-21,10,9485,17,0.294117647058824,1
5000,5000," 36 months",16.29,176.51,"< 1 year","RENT",39500,"debt_consolidation",30.05,0,1996-07-09,11,16147,23,0.126582278481013,0
35000,35000," 60 months",12.12,780.68,"10+ years","MORTGAGE",116000,"debt_consolidation",14.74,0,1988-01-21,7,91194,41,0.301724137931034,1
4600,4600," 36 months",7.62,143.35,"10+ years","MORTGAGE",65000,"home_improvement",12.61,0,1998-09-21,11,12073,61,0.0707692307692308,1
7000,7000," 36 months",7.9,219.04,"1 year","OWN",62320,"home_improvement",3.89,0,1996-09-23,7,6806,10,0.112323491655969,1
18000,18000," 60 months",18.64,463.38,"2 years","RENT",70000,"debt_consolidation",4.56,1,2003-06-23,11,8640,22,0.257142857142857,1
16950,16950," 60 months",17.27,423.72,"10+ years","MORTGAGE",43000,"debt_consolidation",26.62,0,2000-04-01,7,12588,18,0.394186046511628,0
10050,10050," 36 months",20.49,376.01,"n/a","RENT",30456,"debt_consolidation",11.11,0,1977-09-22,3,4421,7,0.329984239558708,0
20000,20000," 36 months",13.11,674.94,"6 years","MORTGAGE",98000,"debt_consolidation",32.98,0,1987-09-12,14,32800,40,0.204081632653061,1
13700,13700," 36 months",14.33,470.44,"n/a","MORTGAGE",55000,"debt_consolidation",32.92,0,1998-11-27,15,19269,38,0.249090909090909,1
6000,6000," 36 months",8.9,190.52,"4 years","MORTGAGE",63000,"credit_card",15.52,0,1995-01-16,8,14540,32,0.0952380952380952,1
25475,25475," 60 months",18.85,658.74,"7 years","RENT",57000,"debt_consolidation",33.02,0,1989-02-02,9,9671,31,0.446929824561404,1
35000,35000," 60 months",21.98,966.27,"9 years","MORTGAGE",160000,"debt_consolidation",31.35,0,1990-06-15,15,112440,38,0.21875,1
8800,8800," 36 months",15.31,306.4,"< 1 year","RENT",18000,"medical",29.2,0,1998-08-21,12,4434,26,0.488888888888889,0
20500,20500," 60 months",17.99,520.46,"1 year","OWN",41000,"debt_consolidation",20.49,0,2001-01-30,6,19478,12,0.5,0
10850,10850," 36 months",14.33,372.57,"8 years","RENT",70000,"debt_consolidation",27.67,0,2000-01-09,14,10492,33,0.155,1
19400,19400," 36 months",7.62,604.54,"< 1 year","MORTGAGE",40000,"debt_consolidation",9.69,0,2006-05-08,8,5406,14,0.485,1
25000,25000," 36 months",21.49,948.18,"2 years","RENT",70000,"debt_consolidation",16.23,0,2004-01-26,11,9537,31,0.357142857142857,0
9000,9000," 36 months",7.62,280.46,"3 years","RENT",199000,"debt_consolidation",9.59,0,1994-06-10,11,14400,20,0.0452261306532663,1
8000,8000," 36 months",13.99,273.39,"1 year","RENT",65000,"debt_consolidation",33.95,0,2006-01-09,19,21632,23,0.123076923076923,0
1750,1750," 36 months",7.9,54.76,"4 years","RENT",25000,"major_purchase",14.74,0,2007-05-06,8,603,11,0.07,1
20000,20000," 60 months",13.99,465.27,"5 years","MORTGAGE",55000,"small_business",9.05,0,2005-07-14,10,3116,22,0.363636363636364,0
6000,6000," 36 months",13.11,202.49,"1 year","RENT",14700,"other",12.08,1,2002-06-26,6,4887,11,0.408163265306122,1
15500,15500," 36 months",17.27,554.71,"< 1 year","MORTGAGE",36000,"debt_consolidation",24.63,0,1995-10-18,11,26550,22,0.430555555555556,1
16000,16000," 60 months",21.48,437.19,"10+ years","MORTGAGE",110000,"debt_consolidation",19.32,2,1990-08-18,21,26198,45,0.145454545454545,0
16450,16450," 60 months",19.72,433.27,"4 years","RENT",42000,"debt_consolidation",25.54,0,1998-03-30,12,15412,32,0.391666666666667,0
35000,35000," 60 months",22.45,975.64,"10+ years","RENT",120000,"debt_consolidation",18.7,0,1996-12-09,15,30463,28,0.291666666666667,1
3000,3000," 36 months",18.75,109.59,"10+ years","MORTGAGE",117000,"debt_consolidation",23.22,0,1996-07-23,15,7953,22,0.0256410256410256,1
10000,10000," 36 months",12.12,332.72,"4 years","OWN",24500,"other",17.53,0,2005-02-27,11,7528,23,0.408163265306122,0
6500,6500," 36 months",7.9,203.39,"2 years","RENT",35500,"debt_consolidation",33.26,0,1990-05-23,9,24226,19,0.183098591549296,0
4000,4000," 36 months",6.03,121.75,"5 years","MORTGAGE",115000,"home_improvement",6.55,0,2000-12-27,10,6544,16,0.0347826086956522,1
9600,9600," 36 months",12.12,319.41,"10+ years","MORTGAGE",70000,"credit_card",13.73,1,1993-11-03,11,10438,30,0.137142857142857,1
6350,6350," 36 months",12.12,211.28,"6 years","RENT",36000,"debt_consolidation",26.6,1,1995-10-17,7,16107,19,0.176388888888889,1
7200,7200," 36 months",11.14,236.2,"6 years","RENT",30000,"major_purchase",10.32,0,2006-02-22,12,6093,18,0.24,1
9750,9750," 36 months",6.03,296.75,"7 years","RENT",65000,"debt_consolidation",2.42,0,2003-01-05,9,7667,20,0.15,1
20000,20000," 60 months",13.11,456.19,"5 years","MORTGAGE",120000,"debt_consolidation",19.93,1,1992-11-30,11,60845,25,0.166666666666667,1
5000,5000," 36 months",14.33,171.7,"1 year","MORTGAGE",45000,"debt_consolidation",17.33,3,2000-03-29,15,5605,47,0.111111111111111,1
24375,24375," 60 months",12.12,543.69,"< 1 year","MORTGAGE",62000,"home_improvement",1.97,0,1992-07-01,5,1065,21,0.393145161290323,1
10000,10000," 36 months",10.74,326.16,"10+ years","OWN",80000,"debt_consolidation",15.14,0,1998-12-19,10,14263,25,0.125,1
16000,16000," 36 months",13.11,539.96,"10+ years","MORTGAGE",75000,"debt_consolidation",8.3,1,1998-01-03,11,13029,37,0.213333333333333,1
12600,12600," 60 months",12.42,282.97,"n/a","MORTGAGE",25200,"major_purchase",0.71,0,1992-07-09,7,83,15,0.5,0
23500,23500," 36 months",14.09,804.21,"8 years","MORTGAGE",65000,"debt_consolidation",26.2,0,1996-06-30,19,14593,53,0.361538461538462,1
14200,14200," 36 months",12.99,478.39,"10+ years","RENT",54000,"debt_consolidation",21.78,0,1981-04-22,10,20908,21,0.262962962962963,1
18225,18225," 36 months",19.05,668.52,"7 years","MORTGAGE",47000,"small_business",16.39,1,2000-02-14,9,23512,14,0.387765957446809,0
8400,8400," 36 months",10.16,271.68,"3 years","MORTGAGE",110000,"credit_card",15.46,0,2001-07-15,17,14136,30,0.0763636363636364,1
12000,12000," 36 months",19.05,440.18,"4 years","RENT",60000,"small_business",3.56,0,2002-01-01,4,4986,7,0.2,1
3550,3550," 36 months",16.29,125.32,"3 years","RENT",33000,"debt_consolidation",28.95,0,1979-08-10,16,13936,27,0.107575757575758,0
8000,8000," 36 months",15.31,278.54,"4 years","RENT",37000,"debt_consolidation",17.09,1,2000-10-22,11,9357,25,0.216216216216216,1
28000,28000," 60 months",21.49,765.24,"6 years","MORTGAGE",97000,"credit_card",8.08,0,2005-10-29,11,30046,15,0.288659793814433,0
31950,31950," 60 months",19.72,841.51,"10+ years","RENT",135000,"debt_consolidation",7,1,1986-03-27,13,8188,23,0.236666666666667,1
1500,1500," 36 months",9.76,48.24,"1 year","RENT",34320,"debt_consolidation",3.67,0,2007-06-23,10,3112,12,0.0437062937062937,1
8000,8000," 36 months",11.14,262.45,"2 years","RENT",52000,"debt_consolidation",11.91,1,1995-03-15,10,5146,18,0.153846153846154,1
25900,25900," 36 months",19.99,962.41,"10+ years","RENT",89232,"debt_consolidation",3.23,0,2002-11-09,7,17718,9,0.290254617177694,0
12000,12000," 36 months",15.1,416.58,"2 years","RENT",43000,"credit_card",28.07,0,2005-10-16,16,19320,26,0.27906976744186,1
6000,6000," 36 months",14.33,206.03,"< 1 year","RENT",55000,"debt_consolidation",6.46,0,2008-09-03,7,5173,9,0.109090909090909,1
21000,21000," 36 months",7.62,654.39,"8 years","MORTGAGE",155000,"credit_card",26.43,0,1995-04-28,13,35034,29,0.135483870967742,1
15000,15000," 60 months",24.08,432.22,"1 year","MORTGAGE",50000,"debt_consolidation",17.76,0,1999-12-05,12,13511,35,0.3,1
10000,10000," 36 months",16.29,353.01,"10+ years","MORTGAGE",90000,"other",13.29,1,2003-01-04,10,3405,35,0.111111111111111,1
20000,20000," 36 months",14.33,686.77,"1 year","MORTGAGE",65000,"credit_card",15.62,0,1994-07-18,9,22506,43,0.307692307692308,1
5000,5000," 36 months",10.16,161.72,"3 years","RENT",90000,"credit_card",6,0,2006-09-11,7,10522,8,0.0555555555555556,1
21000,21000," 36 months",12.12,698.71,"7 years","RENT",150000,"debt_consolidation",10.03,0,2003-05-26,9,40982,20,0.14,1
7200,7200," 36 months",9.99,232.29,"10+ years","MORTGAGE",40000,"home_improvement",20.91,0,1998-05-03,5,11531,19,0.18,1
4000,4000," 36 months",12.69,134.18,"10+ years","MORTGAGE",66000,"wedding",21.09,0,1998-10-28,11,10054,29,0.0606060606060606,0
3000,3000," 36 months",18.49,109.2,"10+ years","MORTGAGE",2e+05,"other",15.14,0,1994-04-03,10,15270,31,0.015,1
6500,6500," 36 months",7.9,203.39,"2 years","RENT",79500,"major_purchase",0.74,0,2007-03-31,5,1259,7,0.0817610062893082,1
18000,18000," 36 months",18.75,657.54,"4 years","MORTGAGE",62500,"credit_card",13.29,0,2004-10-24,13,15044,17,0.288,1
21000,21000," 36 months",11.14,688.91,"n/a","OWN",154000,"small_business",17.35,0,1976-11-27,14,59300,19,0.136363636363636,1
30000,30000," 60 months",13.11,684.29,"2 years","RENT",245000,"other",16.32,0,1999-09-12,6,0,20,0.122448979591837,1
33950,33950," 60 months",14.98,807.32,"1 year","MORTGAGE",67900,"credit_card",22.52,0,1988-11-06,13,26584,38,0.5,1
19425,19425," 60 months",23.28,550.73,"7 years","RENT",45000,"debt_consolidation",13.31,0,1998-08-06,13,13917,20,0.431666666666667,1
21725,21725," 60 months",16.78,537.36,"1 year","RENT",49000,"debt_consolidation",14.91,0,2004-10-02,8,7596,19,0.443367346938775,1
22750,22750," 60 months",19.05,590.78,"10+ years","MORTGAGE",52107,"debt_consolidation",11.56,0,1989-12-17,7,9582,26,0.436601608229221,1
35000,35000," 36 months",15.31,1218.61,"2 years","OWN",1e+05,"credit_card",8.12,0,1991-08-30,11,61016,32,0.35,1
21000,21000," 36 months",7.9,657.1,"7 years","MORTGAGE",145000,"home_improvement",8.03,0,1994-04-20,10,23389,25,0.144827586206897,1
12000,12000," 36 months",11.55,396,"6 years","RENT",89000,"debt_consolidation",15.78,0,2003-11-17,11,13941,23,0.134831460674157,1
3500,3500," 36 months",6.62,107.47,"2 years","MORTGAGE",67200,"home_improvement",2.96,0,1991-08-18,7,7426,35,0.0520833333333333,1
4500,4500," 36 months",15.31,156.68,"10+ years","RENT",38542,"major_purchase",19.49,0,2002-02-26,7,4966,13,0.116755746977323,1
28625,28625," 36 months",15.31,996.65,"8 years","MORTGAGE",64800,"debt_consolidation",20.35,0,1999-03-07,6,30585,18,0.441743827160494,1
10000,10000," 36 months",16.29,353.01,"10+ years","RENT",79000,"debt_consolidation",8.42,0,1994-07-18,12,11408,19,0.126582278481013,1
10750,10750," 36 months",14.09,367.88,"10+ years","MORTGAGE",40000,"debt_consolidation",25.95,0,1986-06-10,6,16263,20,0.26875,1
6000,6000," 36 months",10.99,196.41,"6 years","MORTGAGE",54000,"credit_card",15.78,0,1999-10-11,7,22557,22,0.111111111111111,1
9600,9600," 36 months",14.33,329.65,"2 years","RENT",40000,"credit_card",18.36,0,2005-08-30,12,13799,13,0.24,1
12000,12000," 36 months",12.12,399.26,"7 years","MORTGAGE",55000,"debt_consolidation",33.75,0,2001-12-26,10,16318,30,0.218181818181818,1
5000,5000," 36 months",10.64,162.85,"10+ years","OWN",55000,"debt_consolidation",21.91,0,1998-05-22,10,16871,28,0.0909090909090909,1
20000,20000," 60 months",22.95,563.24,"5 years","OWN",80000,"other",19.85,0,2003-11-04,12,12673,23,0.25,1
10000,10000," 36 months",7.51,311.11,"10+ years","RENT",55000,"debt_consolidation",25.83,0,1998-07-28,9,14195,21,0.181818181818182,1
7300,7300," 36 months",15.1,253.42,"8 years","RENT",70000,"credit_card",16.92,0,2000-10-23,12,15461,30,0.104285714285714,1
5600,5600," 36 months",7.9,175.23,"6 years","RENT",60000,"credit_card",7.84,0,2000-08-06,13,17779,36,0.0933333333333333,1
10000,10000," 36 months",12.12,332.72,"< 1 year","OWN",50000,"debt_consolidation",17.39,0,2004-11-23,8,5174,11,0.2,0
28100,28100," 60 months",11.14,612.93,"3 years","MORTGAGE",161650.59,"debt_consolidation",15.05,0,2002-11-07,16,5722,50,0.173831719389332,1
9750,9750," 36 months",19.05,357.65,"< 1 year","RENT",29120,"debt_consolidation",30.58,0,2003-05-29,10,13578,22,0.334821428571429,1
18000,18000," 60 months",20.8,484.94,"7 years","MORTGAGE",135000,"debt_consolidation",10.96,0,2002-12-15,9,24790,25,0.133333333333333,1
35000,35000," 36 months",19.72,1295.74,"5 years","MORTGAGE",116000,"debt_consolidation",18.44,0,1995-08-09,14,24712,27,0.301724137931034,1
3600,3600," 36 months",7.9,112.65,"6 years","RENT",75000,"debt_consolidation",9.28,0,1991-03-29,17,20985,25,0.048,1
12250,12250," 60 months",15.31,293.43,"< 1 year","MORTGAGE",3e+05,"debt_consolidation",1.25,1,1999-02-23,7,5506,19,0.0408333333333333,1
1000,1000," 36 months",19.52,36.92,"10+ years","RENT",75000,"other",29.74,0,1995-12-09,11,22757,19,0.0133333333333333,1
9600,9600," 36 months",22.45,368.87,"< 1 year","MORTGAGE",120000,"debt_consolidation",15.48,1,1993-08-15,27,12562,61,0.08,1
21000,21000," 60 months",16.29,513.93,"2 years","RENT",92000,"debt_consolidation",22.13,2,1996-01-07,9,11102,28,0.228260869565217,1
20000,20000," 60 months",13.11,456.19,"2 years","MORTGAGE",50000,"debt_consolidation",12.14,0,2000-06-26,17,8703,32,0.4,1
1000,1000," 36 months",11.14,32.81,"7 years","RENT",40000,"vacation",33.36,0,2000-05-18,11,14536,16,0.025,1
12300,12300," 36 months",14.33,422.36,"1 year","RENT",38105.6,"debt_consolidation",29.22,0,2005-07-04,10,4287,24,0.322787201881088,0
6300,6300," 36 months",15.31,219.35,"4 years","MORTGAGE",43000,"credit_card",23.83,0,2006-04-24,8,7161,13,0.146511627906977,0
16675,16675," 60 months",23.28,472.77,"2 years","RENT",40000,"debt_consolidation",32.92,1,1996-12-30,19,18506,39,0.416875,0
10000,10000," 36 months",14.33,343.39,"10+ years","RENT",85000,"credit_card",4.5,0,1978-07-20,9,8874,30,0.117647058823529,1
13800,13800," 36 months",7.62,430.03,"5 years","RENT",130000,"other",0.25,0,2006-08-18,4,918,10,0.106153846153846,1
19000,19000," 36 months",12.12,632.17,"8 years","OWN",75000,"debt_consolidation",14.8,0,2006-11-23,13,11603,20,0.253333333333333,1
11500,11500," 36 months",7.62,358.36,"5 years","RENT",35400,"debt_consolidation",11.05,0,2000-05-31,12,14793,22,0.324858757062147,0
5000,5000," 36 months",12.12,166.36,"10+ years","MORTGAGE",55500,"credit_card",29.95,1,2002-03-25,8,10825,29,0.0900900900900901,1
4800,4800," 60 months",14.09,111.92,"n/a","RENT",80000,"home_improvement",10.42,0,1996-04-15,7,21459,10,0.06,1
23500,23500," 60 months",15.31,562.9,"10+ years","MORTGAGE",80000,"debt_consolidation",12.54,0,1998-04-29,7,30836,25,0.29375,1
6250,6250," 36 months",17.77,225.24,"10+ years","RENT",23000,"debt_consolidation",17.32,2,1996-12-30,8,11737,19,0.271739130434783,0
28000,28000," 60 months",13.11,638.67,"10+ years","MORTGAGE",109000,"debt_consolidation",10.78,0,1984-07-30,11,12860,25,0.256880733944954,1
33425,33425," 60 months",24.89,978.92,"3 years","MORTGAGE",77000,"debt_consolidation",21.99,2,2002-01-05,15,10005,41,0.434090909090909,1
6000,6000," 36 months",6.03,182.62,"10+ years","OWN",39160,"credit_card",27.76,0,1990-02-28,21,6408,52,0.153217568947906,1
1000,1000," 36 months",18.85,36.59,"8 years","RENT",54000,"other",20.6,0,2001-02-11,8,11012,23,0.0185185185185185,1
20500,20500," 36 months",19.72,758.94,"10+ years","RENT",52000,"debt_consolidation",31.75,6,1989-01-25,10,7993,33,0.394230769230769,1
11875,11875," 36 months",18.49,432.24,"7 years","RENT",77000,"debt_consolidation",5.36,0,2006-05-22,16,10851,29,0.154220779220779,0
25000,25000," 60 months",23.4,710.52,"10+ years","MORTGAGE",98000,"debt_consolidation",23.39,0,1983-09-15,22,71519,43,0.255102040816327,1
19725,19725," 60 months",17.99,500.78,"10+ years","MORTGAGE",66000,"debt_consolidation",17.02,0,1984-07-13,14,8420,36,0.298863636363636,1
4200,4200," 36 months",18.25,152.37,"4 years","RENT",44127,"other",27.93,0,1996-09-08,10,23070,13,0.0951798218777619,1
6000,6000," 36 months",11.99,199.26,"10+ years","MORTGAGE",65000,"credit_card",16.71,8,1998-02-22,12,8332,35,0.0923076923076923,1
6000,6000," 36 months",22.4,230.39,"10+ years","RENT",190000,"moving",9.21,4,1984-07-03,18,7517,51,0.0315789473684211,1
14075,14075," 36 months",13.11,474.99,"10+ years","MORTGAGE",65000,"credit_card",14.27,0,1990-10-01,11,12265,44,0.216538461538462,1
27575,27575," 36 months",7.9,862.83,"6 years","MORTGAGE",83000,"debt_consolidation",21.43,0,1990-05-13,20,1397,58,0.332228915662651,1
14400,14400," 36 months",13.11,485.96,"10+ years","RENT",50000,"debt_consolidation",26.09,0,1998-07-15,9,7333,24,0.288,0
20000,20000," 60 months",15.8,484.24,"2 years","RENT",75000,"debt_consolidation",14.38,0,1989-02-01,8,19880,18,0.266666666666667,1
20000,20000," 36 months",17.27,715.75,"10+ years","MORTGAGE",120000,"debt_consolidation",6.26,3,1982-03-07,13,8944,30,0.166666666666667,1
2400,2400," 36 months",7.9,75.1,"n/a","RENT",18000,"debt_consolidation",18.6,0,2006-09-07,14,1927,15,0.133333333333333,1
12000,12000," 36 months",15.31,417.81,"1 year","MORTGAGE",80000,"credit_card",12.06,0,1996-11-22,7,15770,36,0.15,1
20000,20000," 36 months",14.27,686.18,"5 years","RENT",65000,"house",12.2,0,2006-08-08,10,14604,18,0.307692307692308,1
19000,19000," 36 months",21,715.83,"10+ years","MORTGAGE",97000,"debt_consolidation",16.96,0,1994-07-31,9,32220,56,0.195876288659794,1
25450,25450," 60 months",23.28,721.55,"1 year","MORTGAGE",75000,"debt_consolidation",8.13,4,1987-03-05,11,4528,25,0.339333333333333,1
13000,13000," 36 months",15.31,452.63,"10+ years","MORTGAGE",82766.22,"debt_consolidation",5.35,0,1996-04-26,11,11578,22,0.157068910480628,1
5825,5825," 36 months",7.51,181.23,"8 years","RENT",81000,"debt_consolidation",29.52,0,1998-11-13,15,6125,31,0.0719135802469136,1
12000,12000," 36 months",14.33,412.06,"2 years","MORTGAGE",56000,"credit_card",28.89,0,1993-09-17,12,11615,16,0.214285714285714,1
17500,16800," 60 months",22.74,471.1,"6 years","MORTGAGE",95000,"debt_consolidation",24.78,0,2002-01-30,12,23722,23,0.176842105263158,0
5200,5200," 36 months",8.9,165.12,"3 years","MORTGAGE",44828.88,"home_improvement",18.42,0,2006-09-01,18,8591,30,0.115996652158162,1
5000,5000," 36 months",17.77,180.19,"10+ years","MORTGAGE",75000,"vacation",23.65,0,1989-10-10,9,51406,23,0.0666666666666667,1
14000,14000," 36 months",19.05,513.54,"4 years","RENT",44000,"debt_consolidation",25.98,0,2006-06-13,11,16155,19,0.318181818181818,0
18000,18000," 60 months",12.12,401.5,"10+ years","MORTGAGE",75000,"debt_consolidation",24.22,0,1995-10-28,13,18021,27,0.24,1
20000,20000," 60 months",22.4,556.94,"3 years","RENT",84000,"debt_consolidation",10.27,1,2003-12-16,6,20058,20,0.238095238095238,1
11700,11700," 36 months",18.49,425.87,"9 years","RENT",35000,"debt_consolidation",34.46,0,2006-01-31,10,1708,20,0.334285714285714,0
14000,14000," 36 months",14.09,479.1,"10+ years","RENT",72002,"debt_consolidation",19.73,0,1983-04-02,11,38309,20,0.194439043359907,1
2000,2000," 36 months",12.12,66.55,"10+ years","MORTGAGE",80000,"credit_card",20.92,1,1995-05-10,13,24710,23,0.025,1
15000,15000," 36 months",12.12,499.08,"4 years","RENT",61500,"debt_consolidation",6.31,0,2004-02-27,6,6744,20,0.24390243902439,1
18000,18000," 60 months",12.12,401.5,"5 years","OWN",40000,"credit_card",25.19,0,1991-11-28,5,19391,17,0.45,1
25000,25000," 60 months",23.63,713.85,"4 years","OWN",88100,"debt_consolidation",13.73,0,2000-07-23,11,16450,41,0.283768444948922,1
10000,10000," 36 months",15.88,350.98,"8 years","RENT",60000,"debt_consolidation",14.37,0,1997-12-27,7,9515,14,0.166666666666667,0
16000,16000," 36 months",17.27,572.6,"10+ years","RENT",73000,"credit_card",32.12,0,1998-12-11,20,28738,34,0.219178082191781,1
6050,6050," 36 months",16.29,213.57,"10+ years","OWN",60000,"debt_consolidation",24.42,0,1993-03-16,14,23528,30,0.100833333333333,1
4800,4800," 36 months",14.09,164.27,"n/a","MORTGAGE",35000,"home_improvement",18.86,0,1982-10-21,12,12624,30,0.137142857142857,1
15000,15000," 36 months",14.33,515.08,"10+ years","MORTGAGE",75000,"debt_consolidation",18.58,1,1976-10-12,10,64919,38,0.2,0
9000,9000," 36 months",7.9,281.62,"2 years","RENT",42000,"debt_consolidation",16.54,0,1991-10-06,12,11580,29,0.214285714285714,1
17300,17300," 36 months",12.12,575.6,"< 1 year","RENT",55000,"debt_consolidation",22.64,1,1998-10-07,19,20779,31,0.314545454545455,1
14000,14000," 36 months",14.33,480.74,"10+ years","RENT",106000,"debt_consolidation",24.37,0,1990-11-17,12,27998,26,0.132075471698113,1
22000,22000," 36 months",11.14,721.72,"10+ years","OWN",67900,"debt_consolidation",8.25,0,1994-08-20,13,25063,29,0.3240058910162,1
16000,16000," 60 months",17.27,399.97,"1 year","MORTGAGE",80000,"house",18.79,0,1999-01-29,14,10653,23,0.2,0
8400,8400," 36 months",17.56,301.83,"10+ years","MORTGAGE",58000,"credit_card",20.46,0,2001-01-02,12,13115,32,0.144827586206897,1
10625,10625," 36 months",16.29,375.07,"3 years","RENT",31000,"debt_consolidation",19.05,0,1993-01-22,13,19570,20,0.342741935483871,1
10000,10000," 36 months",7.9,312.91,"10+ years","MORTGAGE",85000,"debt_consolidation",18.99,1,1996-01-09,13,11941,46,0.117647058823529,1
4000,4000," 36 months",13.11,134.99,"2 years","RENT",38000,"debt_consolidation",10.64,0,2008-08-22,9,2634,11,0.105263157894737,1
14000,14000," 60 months",19.72,368.74,"2 years","RENT",67000,"debt_consolidation",27.83,0,1996-08-16,17,19600,30,0.208955223880597,0
6000,6000," 36 months",13.99,205.04,"7 years","RENT",115000,"credit_card",8.43,2,1997-03-25,13,7840,18,0.0521739130434783,1
28000,28000," 36 months",8.9,889.09,"10+ years","MORTGAGE",86000,"debt_consolidation",12.8,0,1979-07-12,14,41776,48,0.325581395348837,1
7000,7000," 36 months",7.9,219.04,"10+ years","RENT",85000,"debt_consolidation",24.58,0,1996-12-30,7,26078,18,0.0823529411764706,1
1200,1200," 36 months",13.68,40.83,"5 years","OWN",37000,"debt_consolidation",32.43,0,2006-08-23,16,8691,28,0.0324324324324324,1
7200,7200," 36 months",14.09,246.4,"1 year","RENT",64000,"credit_card",20.81,0,1992-03-09,10,9609,36,0.1125,1
